      1998-05-12 02:46:14  1     131072                                         
      1998-05-12 02:51:36  5         00                                         
00920 02162   2  1 H 3 1998-05-12 04:28:45  33.456  248.307  0.000 401649858    
      1998-05-12 04:31:26  6         00                                         
00920 02162   4  1 J A 1998-05-12 09:57:04  33.451  248.314  0.000 401649873    
      1998-05-12 09:54:46  1         00                                         
      1998-05-12 09:58:36  1  135536640                                         
      1998-05-12 09:59:22  1         00                                         
00920 02162   2  1 J B 1998-05-12 11:36:32  33.454  248.302  0.000 401649873    
      1998-05-12 11:36:55  2         00                                         
00920 02162   2  1 D                                                            
      1998-05-12 12:20:41  1         00                                         
00920 02162   3  1 D 2 1998-05-12 14:00:08  33.466  248.258  0.000 401649873    
      1998-05-12 13:57:27  1         00                                         
      1998-05-12 14:05:08  8         00                                         
00920 02162   2  1 D                                                            
      1998-05-12 15:38:50  1         00                                         
00920 02162   2  1 H 3 1998-05-12 16:54:05  33.456  248.305  0.000 401649871    
      1998-05-12 16:57:10  6         00                                         
00920 02162   6  1 J 3 1998-05-12 21:17:54  33.457  248.316  0.000 401649860    
      1998-05-12 21:14:27  1         00                                         
      1998-05-12 21:15:13  1        512                                         
      1998-05-12 21:16:45  1         18                                         
      1998-05-12 21:18:17  2         00                                         
      1998-05-12 21:21:21  4         00                                         
00920 02162   5  1 J 2 1998-05-12 22:58:54  33.453  248.314  0.000 401649860    
      1998-05-12 22:55:49  1         00                                         
      1998-05-12 22:59:39  1        512                                         
      1998-05-12 23:00:26  1         00                                         
      1998-05-12 23:01:58  2         00                                         
00920 02162   2  1 D                                                            
      1998-05-12 23:34:59  1     147968                                         
00920 02162   3  1 D 2 1998-05-13 01:17:31  33.451  248.294  0.000 401649851    
      1998-05-13 01:18:40  4         00                                         
      1998-05-13 01:20:58  1       8076                                         
00920 02162   2  1 H B 1998-05-13 02:34:42  33.454  248.313  0.000 401649850    
      1998-05-13 02:37:46  2         00                                         
00920 02162   2  1 D A 1998-05-13 02:57:44  33.422  248.330  0.000 401649850    
      1998-05-13 02:58:30  3         00                                         
00920 02162   2  1 H 3 1998-05-13 04:16:50  33.454  248.305  0.000 401649849    
      1998-05-13 04:19:55  7         00                                         
00920 09301   7 32 D                                                            
      1998-05-03 18:34:41  1        178          254           85          150  
                                    144          210          140          233  
                                    222          109          210          213  
                                    207          165          144          141  
                                    103           19           49           74  
                                    204          232          246           53  
